병원이름,,,주소,전화번호,좌표(X),좌표(Y)
365그린가족의원,경기,평택시,"경기도 평택시 지제동삭1로 41, 130동 2층 34, 35호, 1층 15호 (지제동, 지제역 더샵 센트럴시티)",031-654-7585,127.0755138,37.0229222
365소사벌종합의원,경기,평택시,"경기도 평택시 평남로 951, 디에이치빌딩 101호,201호 (비전동)",,127.1034104,37.0052676
365연합의원,경기,평택시,"경기도 평택시 송탄로40번길 79-16, (이충동)",031-611-2119,127.0573059,37.0520932
365일 열린의원,경기,평택시,"경기도 평택시 경기대로 1511, 1,2,3층 (지산동)",031-664-3651,127.0627106,37.0793397
365종합의원,경기,오산시,"경기도 오산시 경기대로 133, 오렌지팩토리아울렛 1층 (원동)",031-378-0365,127.0727361,37.1367571
LG전자(주)평택공장 부속의원,경기,평택시,"경기도 평택시 진위면 엘지로 222, (진위면)",031-610-5181,127.0916202,37.1290327
WIP성형외과의원,경기,평택시,"경기도 평택시 고덕로 247, 504로 601호~604호,701호~704호 (고덕동)",031-647-0455,127.0276759,37.0366002
강남뷰베스트의원,경기,평택시,"경기도 평택시 중앙2로 25, 5층 (평택동)",031-692-2789,127.0898733,36.9917536
강남성모안과의원,경기,안성시,"경기도 안성시 중앙로 370, 2층 (석정동, 하평플리스)",031-671-1505,127.2678542,37.0076411
강남성모이비인후과의원,경기,오산시,"경기도 오산시 수청로 193, P&P세교프라자 3층 303,302-1호 (금암동)",376-5005,127.0455185,37.1766517
강남성형외과의원,경기,오산시,"경기도 오산시 오산로 209, 6층 (오산동)",031-377-7575,127.0681826,37.1454049
강남셀럽의원,경기,평택시,"경기도 평택시 고덕갈평5길 32, 그랜드메디컬타워 7층 705,706호 (고덕동)",031-611-3677,127.0474102,37.0565574
강남소아청소년과의원,경기,평택시,"경기도 평택시 안중읍 안현로서6길 68, 3층",031-681-6555,126.9216156,36.9847915
강남재준성형외과의원,경기,평택시,"경기도 평택시 평택5로20번길 38, (합정동)",031-647-3119,127.1138885,36.9899572
강내과의원,경기,안성시,"경기도 안성시 금산길 8, 2층 (연지동)",675-2255,127.2708462,37.0113005
강정협내과의원,경기,오산시,"경기도 오산시 성호대로 89, 204호 (오산동, 세명프라자)",031-377-8081,127.0713995,37.1491526
건강드림내과의원,경기,평택시,"경기도 평택시 지산로 64, 1,2,3,4,5층 (지산동)",031-666-8275,127.0620647,37.0797134
건강한가족의원,경기,오산시,"경기도 오산시 성호대로 121, 월드타워 3층 302,304호 (오산동)",031-377-5355,127.0748375,37.1490571
건강한내과의원,경기,평택시,"경기도 평택시 서동대로 3879, 5층 (용이동, 제이플러스)",031-658-2335,127.1378517,36.9942774
경기도립 안성휴게소의원,경기,안성시,"경기도 안성시 원곡면 경부고속도로 372, (원곡면)",031-662-2402,127.1324553,37.0767838
경기성모안과의원,경기,평택시,"경기도 평택시 탄현로 58, 강희프라자 2,6층 (서정동)",031-8054-0996,127.0539603,37.0576314
경희마취통증 의학과 의원,경기,안성시,"경기도 안성시 중앙로 359, (석정동)",031-675-7319,127.2668926,37.0082719
계현정형외과의원,경기,평택시,"경기도 평택시 중앙로 296, (합정동)",031-618-6600,127.1155381,36.9904766
고대닥터정의원,경기,평택시,"경기도 평택시 탄현1로 160, 2층,3층 (신장동)",031-666-3516,127.0538997,37.0741818
고덕더맑은의원,경기,평택시,"경기도 평택시 함박산9길 3, 3,4층 (고덕동)",,127.0314485,37.0392485
고덕바른소아청소년과의원,경기,평택시,"경기도 평택시 함박산8길 31, 201호,202호 (고덕동)",031-8054-8875,127.0315337,37.0385834
고덕서울숲정신건강의학과의원,경기,평택시,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 5층 513,514호 (고덕동)",031-662-7000,127.0442098,37.0477733
고덕센트럴이비인후과의원,경기,평택시,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 407,408,409,410,411호 (고덕동)",031-8029-7500,127.0442098,37.0477733
고덕숲가정의학과의원,경기,평택시,"경기도 평택시 고덕갈평6길 29, 2층 207호~209호 (고덕동)",031-647-3984,127.0474399,37.0573027
고덕스카이정형외과의원,경기,평택시,"경기도 평택시 고덕중앙2로 39, 고은메디타워 6,7층 (고덕동)",031-8054-7507,127.0402869,37.0451903
고덕에듀이비인후과의원,경기,평택시,"경기도 평택시 고덕로 250, 304,305,306,307호 (고덕동)",031-647-6357,127.0282882,37.0362879
고덕연세내과의원,경기,평택시,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 801,803-807호 (고덕동)",031-647-4100,127.0442098,37.0477733
고덕연세탑재활의학과의원,경기,평택시,"경기도 평택시 고덕국제대로 94, 우성고덕타워 705~708호 (고덕동)",031-647-3601,127.0442027,37.045272
고덕으뜸이비인후과의원,경기,평택시,"경기도 평택시 고덕로3길 27, 305호~308호 (고덕동)",031-647-4278,127.0263345,37.0381535
고덕재활의학과의원,경기,평택시,"경기도 평택시 고덕국제7로 117, 304호,305호 (고덕동)",031-618-6800,127.0297614,37.0351969
고덕타임내과의원,경기,평택시,"경기도 평택시 고덕로 250, 301,302,303호 (고덕동)",031-668-7582,127.0282882,37.0362879
고려웰니스의원,경기,평택시,"경기도 평택시 안중읍 안현로서8길 23, 동흥빌딩 3,5층",031-684-1800,126.9227679,36.9790704
고려재활의학과의원,경기,안성시,"경기도 안성시 중앙로 370, 2층 (석정동, 하평플리스)",031-676-9152,127.2678542,37.0076411
고비뇨기과의원,경기,안성시,"경기도 안성시 중앙로 397-1, (대천동)",031-675-7195,127.2710043,37.0074384
고윤희산부인과외과의원,경기,평택시,"경기도 평택시 용죽2로 32-44, 리더스타워 3층 303~306호호 (용이동)",031-692-8005,127.1255199,36.9924366
고은미래의원,경기,평택시,"경기도 평택시 비전5로 11, 301호 (비전동)",031-654-5100,127.1126122,37.0001234
공도탁마취통증의학과의원,경기,안성시,"경기도 안성시 공도읍 공도로 83, 3층 303호",031-651-8575,127.170316,36.9998013
구광림안과의원,경기,평택시,"경기도 평택시 경기대로 1365, (서정동)",031-664-2727,127.0636646,37.0670039
군문메디컬의원,경기,평택시,"경기도 평택시 원평로25번길 61-1, 3층 (군문동, 주공플라자)",691-2119,127.0830081,36.9861893
굿라인의원,경기,평택시,"경기도 평택시 평택로32번길 34, 라이트짐 5층 (평택동)",031-647-0170,127.0896189,36.991301
굿맨의원,경기,평택시,"경기도 평택시 안중읍 안중로 137, (안중읍)",031-681-3727,126.9317364,36.9890273
굿모닝내과의원,경기,평택시,"경기도 평택시 중앙로 2, 2층 (통복동)",031-654-9990,127.0835289,36.9954122
굿모닝재활의학과의원,경기,평택시,"경기도 평택시 서정역로26번길 7-10, 1층 (이충동)",031-665-8575,127.0563534,37.0567321
권소아청소년과의원,경기,안성시,"경기도 안성시 중앙로 368, 모아빌딩 1층 103호 (석정동)",677-0134,127.2676156,37.0077318
권우석흉부외과의원,경기,평택시,"경기도 평택시 평택5로20번길 39, 4층 401호 (합정동, 합정동타임스퀘어)",031-652-2172,127.1131898,36.9899939
그레이시 여성의원,경기,평택시,"경기도 평택시 세교8길 30, 세교디오네프라자 2층 204-205호 (세교동)",031-647-0963,127.0907222,37.0090505
그린힐의원,경기,오산시,"경기도 오산시 발안로 1367, 202호 (누읍동)",031-376-6075,127.0478531,37.1422755
기댐마취통증의학과의원,경기,평택시,"경기도 평택시 관광특구로 38, 하정빌딩 2층 (서정동)",031-664-8880,127.0629415,37.0664367
기독내과의원,경기,평택시,"경기도 평택시 탄현로 331-1, (신장동)",031-664-0380,127.0560532,37.0818535
기운찬마취통증의학과의원,경기,오산시,"경기도 오산시 성호대로 79, 2층 (오산동)",031-372-7530,127.069994,37.1491038
길내과의원,경기,평택시,"경기도 평택시 관광특구로 19, 3층 (서정동)",031-666-6902,127.0609138,37.0672656
김군홍의원,경기,평택시,"경기도 평택시 안중읍 안중로 141, 엘에이치알 1동 3층 301호",031-683-0080,126.9320453,36.9891289
김내과의원,경기,안성시,"경기도 안성시 공도읍 공도로 91, (공도읍)",031-691-7975,127.1710985,37.0001022
김두희가정의학과의원,경기,평택시,"경기도 평택시 송탄로 220, BK프라자 2층 (서정동)",031-665-6765,127.058525,37.0634015
김상현소아청소년과의원,경기,오산시,"경기도 오산시 운암로 113, 203호 (오산동, 중앙프라자)",031-372-1760,127.0779655,37.1563753
김성우의원,경기,오산시,"경기도 오산시 오산로 68, (갈곶동)",031-374-2509,127.0693453,37.1327821
김안과의원,경기,평택시,"경기도 평택시 중앙로 270, 2,3,4,5층 (합정동)",031-652-5161,127.1128692,36.9899437
김이비인후과의원,경기,평택시,"경기도 평택시 관광특구로 19, 3층 (서정동)",031-668-6882,127.0609138,37.0672656
김정배이비인후과의원,경기,평택시,"경기도 평택시 중앙2로 37, 2,3층 (합정동)",031-652-5225,127.0911797,36.9915752
김정형외과의원,경기,평택시,"경기도 평택시 청북읍 안청로 332, 3층 (한남프라자)",031-683-2550,126.9159078,37.0175045
김주호내과의원,경기,평택시,"경기도 평택시 평택로 78, 3층 (평택동)",031-618-7900,127.0850712,36.9939845
김피부과의원,경기,오산시,"경기도 오산시 대원로 6, 2층 (원동)",031-372-1615,127.0689925,37.1461121
꿈사랑의료복지사회적협동조합 꿈사랑의원,경기,안성시,"경기도 안성시 삼죽면 서동대로 5980, 2,3,4층 402호",031-8057-0040,127.3492149,37.0308237
나정일내과의원,경기,평택시,"경기도 평택시 서정역로26번길 3, 2층 (서정동)",031-667-0377,127.0559312,37.056473
남해의원,경기,오산시,"경기도 오산시 역광장로 54, (오산동)",031-373-9100,127.0677729,37.1451963
내몸애항외과의원,경기,평택시,"경기도 평택시 중앙2로 13, 5층 (평택동, 센텀스카이)",031-658-8080,127.0886955,36.9919135
누리소아청소년과의원,경기,오산시,"경기도 오산시 원당로 22, 2층 221~223호 (원동)",031-684-8131,127.0925856,37.1410596
눈사랑안과의원,경기,안성시,"경기도 안성시 공도읍 공도4로 3, 306호",031-618-6477,127.1720768,37.0004876
늘푸른가정의학과의원,경기,평택시,"경기도 평택시 세교6로 45, 220동 2층 202,203호 (세교동, 힐스테이트 평택2차)",031-655-0977,127.0866453,37.0102104
다시봄날의원,경기,오산시,"경기도 오산시 수목원로 466, 성민리치 3층 303,304,305호 및 6층 603,604,605호 (금암동)",031-8078-7777,127.0499884,37.1752733
다시봄날의원,경기,평택시,"경기도 평택시 중앙2로 13, 11층 1101,1102호 (평택동)",031-8088-7575,127.0886955,36.9919135
다온튼튼정형외과의원,경기,평택시,"경기도 평택시 용죽3로 18, 2,3층 (용이동)",031-652-3399,127.1256329,36.9935529
다은의원,경기,평택시,"경기도 평택시 중앙2로 121, 3층일부, 2층 (합정동)",031-8094-0320,127.1003291,36.9899841
다편안신경외과의원,경기,평택시,"경기도 평택시 비전5로 11, 302,303,304,305호 (비전동)",031-8054-8288,127.1126122,37.0001234
닥터박의원,경기,평택시,"경기도 평택시 중앙2로 25, (평택동)",031-655-8272,127.0898733,36.9917536
닥터한코스메딕의원(Dr.Hans CosMedic Clinic),경기,평택시,"경기도 평택시 팽성읍 신흥북로29번길 40-22, 5층",031-647-3279,127.0467426,36.9636383
더365의원,경기,평택시,"경기도 평택시 고덕로3길 22, 2~5층 (고덕동)",031-665-9011,127.0265678,37.0371155
더네이처산부인과의원,경기,평택시,"경기도 평택시 송탄로 260, 4,5,6,7,11층 (서정동)",031-668-3579,127.0589169,37.0667897
더네이처소아청소년과의원,경기,평택시,"경기도 평택시 송탄로 260, 3층 (서정동)",031-665-9735,127.0589169,37.0667897
더라움의원,경기,안성시,"경기도 안성시 중앙로 374, 메디스퀘어 1동 5층 501~503호 (서인동)",031-675-0201,127.2683648,37.0075246
더라인의원,경기,평택시,"경기도 평택시 소사5길 24, 303호일부,302호 (소사동)",031-654-5675,127.1269742,36.9905311
더청담마취통증의학과의원,경기,평택시,"경기도 평택시 통복시장2로39번길 17, 1층 (통복동)",031-656-1470,127.0872505,36.9967321
더편한장내과의원,경기,안성시,"경기도 안성시 아양1로 61, 폴리프라자1 303~310호 (옥산동)",031-671-7575,127.259358,37.0076238
도담소아청소년과의원,경기,안성시,"경기도 안성시 공도읍 공도로 132, 3층 304호",031-655-0852,127.1748973,37.0014237
도원의원,경기,오산시,"경기도 오산시 오산로 287-1, 2층 (오산동)",031-377-1887,127.0682955,37.1526321
동산의원,경기,평택시,"경기도 평택시 탄현로 300, (지산동)",031-662-5551,127.0549571,37.0793878
두리이비인후과의원,경기,오산시,"경기도 오산시 경기대로 155, 신한프라자A 201,202호 (원동)",031-378-2204,127.0731132,37.1386476
드림아이소아청소년과의원,경기,평택시,"경기도 평택시 동삭1로22번길 19-15, 3층 301호 (동삭동)",031-656-5575,127.0932929,37.020374
드림한마음재활의학과의원,경기,평택시,"경기도 평택시 고덕중앙로 200-18, 307호~312호 (고덕동)",031-668-9953,127.0449309,37.0468079
디에따의원,경기,평택시,"경기도 평택시 고덕중앙2로 47, 지오프라자 4층 401호~406호 (고덕동)",031-8029-7707,127.0413043,37.0451843
똑소리이비인후과의원,경기,오산시,"경기도 오산시 고을1길 36, 302, 303호 (누읍동)",031-831-5666,127.0545831,37.1443523
라움산부인과의원,경기,평택시,"경기도 평택시 평택5로34번길 6-1, 104호, 2~4층 (합정동)",1670-9792,127.1117581,36.9890624
로뎀나무내과의원,경기,평택시,"경기도 평택시 중앙로 82-1, (합정동)",031-654-1905,127.0922577,36.9937129
룩스미의원,경기,평택시,"경기도 평택시 비전5로 16, 프라우빌딩 4층 404-나,405,406-가호 (비전동)",031-616-1211,127.1132563,36.999843
리드엠의원,경기,평택시,"경기도 평택시 평택로32번길 2, 2층 (평택동)",031-652-2902,127.0883499,36.990608
리멤버피부과의원 평택고덕점,경기,평택시,"경기도 평택시 고덕중앙로 200-4, 416,417,418,419,420호 (고덕동)",031-611-1070,127.0442098,37.0477733
리앤샤인의원,경기,평택시,"경기도 평택시 용죽3로 18, 2층 (용이동)",031-655-2275,127.1256329,36.9935529
마디의원,경기,평택시,"경기도 평택시 안중읍 안현로서8길 17, 5층",031-681-6675,126.923344,36.9787443
마디콕신경외과의원,경기,안성시,"경기도 안성시 장기로 35, 5, 6층 전호 (인지동)",031-676-8257,127.2676736,37.0061052
마트의원,경기,안성시,"경기도 안성시 공도읍 서동대로 4478, 2층 (롯데마트)",031-657-8279,127.1994978,37.0078386
맑은숨이비인후과의원,경기,오산시,"경기도 오산시 수청로 201, 302호 (금암동, 센타프라자 )",031-374-7075,127.0445545,37.1763951
맘시티소아청소년과의원,경기,평택시,"경기도 평택시 신촌2로 22, 맘스스퀘어B동 3층 310,311호 (칠원동)",031-663-1275,127.1040567,37.0260471
메가비뇨의학과의원,경기,평택시,"경기도 평택시 평택로32번길 25, 3층 (평택동)",,127.0890047,36.9914273
메디케어의원,경기,평택시,"경기도 평택시 안중읍 안현로서8길 57, 붐붐프라자 209,301,302호",031-681-8000,126.919408,36.97907
명내과의원,경기,평택시,"경기도 평택시 이충로35번길 22, 303호 (이충동, 뜨란프라자)",031-663-1441,127.0667461,37.0598138
모산이비인후과의원,경기,평택시,"경기도 평택시 지제동삭1로 208, 3층 (동삭동)",031-616-0123,127.0889023,37.0171554
모산이음산부인과의원,경기,평택시,"경기도 평택시 지제동삭1로 208, 3층 (동삭동)",031-616-0100,127.0889023,37.0171554
모아산부인과의원,경기,안성시,"경기도 안성시 중앙로 368, (석정동)",031-674-7744,127.2676156,37.0077318
몸튼튼의원,경기,평택시,"경기도 평택시 고덕국제대로 7, 창신베스트 204-1호,205-208호 (고덕동)",031-616-7717,127.0482179,37.0388846
무지개연합의원,경기,오산시,"경기도 오산시 경기대로 271, 3층 (오산동, 롯데마트)",031-373-6727,127.0730466,37.1494459
문소아청소년과의원,경기,오산시,"경기도 오산시 경기대로 153, B동 402호 (원동, 신한프라자)",031-376-4168,127.0731103,37.1383191
문이비인후과의원,경기,평택시,"경기도 평택시 이충로35번길 22, 304호 (이충동, 뜨란프라자)",031-662-0098,127.0667461,37.0598138
미드림의원,경기,안성시,"경기도 안성시 공도읍 공도4로 3, 3층 (우성메디컬프라자)",031-655-7958,127.1720768,37.0004876
미래이비인후과소아청소년과의원,경기,평택시,"경기도 평택시 비전5로 20-24, 312,313호 (비전동)",031-647-3500,127.1141665,36.9988747
미리내의원,경기,평택시,"경기도 평택시 송탄로 71, 가온프라자 2층 (이충동)",031-611-1218,127.0557258,37.0516742
미성형외과의원,경기,평택시,"경기도 평택시 평택로32번길 10, (평택동)",031-651-4632,127.0886806,36.9907668
미소드림의원,경기,평택시,"경기도 평택시 세교공원로 66, 상가1동 201호 (세교동, 부영아파트)",031-618-7579,127.0852822,37.0035948
미소아과의원,경기,평택시,"경기도 평택시 이충로35번길 20-9, 302,303호 (이충동, 센타프라자)",031-666-8022,127.0664844,37.0603587
미소연의원,경기,안성시,"경기도 안성시 공도읍 서동대로 4061, 2층",031-654-7577,127.1573359,36.9982199
미앤미의원,경기,평택시,"경기도 평택시 중앙2로 13, 204호 (평택동)",031-656-8875,127.0885625,36.9919579
미앤클린의원,경기,평택시,"경기도 평택시 비전5로 20-30, 205,206호 (비전동)",031-651-7288,127.1151272,36.9989205
미올린의원,경기,오산시,"경기도 오산시 내삼미로 83, 5층 502,503,504호 (수청동)",031-377-7975,127.0660073,37.1696464
바로그의원,경기,평택시,"경기도 평택시 평택로32번길 25, 1층 (평택동)",031-652-5670,127.0890047,36.9914273
바른소리이비인후과의원,경기,평택시,"경기도 평택시 서정역로26번길 7-10, 3층 (이충동)",031-8054-8277,127.0563534,37.0567321
바른수내과의원,경기,오산시,"경기도 오산시 초평중앙로 127-4, 4,5층 (가수동)",031-894-5572,127.0476779,37.1437971
박내과의원,경기,안성시,"경기도 안성시 중앙로 368, 3층 (석정동)",031-676-1669,127.2676156,37.0077318
박샘소아청소년과의원,경기,평택시,"경기도 평택시 중앙로 176, 222호 (합정동, SK뷰주상복합2)",031-691-8275,127.102363,36.9915502
박이비인후과의원,경기,평택시,"경기도 평택시 중앙2로 19, (평택동)",031-651-4429,127.0892466,36.9918474
박인호피부과의원,경기,평택시,"경기도 평택시 안중읍 안현로서8길 17, 8층",031-683-8626,126.923344,36.9787443
밝은성모안과의원,경기,평택시,"경기도 평택시 중앙2로 25, (평택동)",031-655-4628,127.0898733,36.9917536
밝은안과의원,경기,오산시,"경기도 오산시 대원로 8, 2,3층 (원동)",378-4100,127.0691658,37.1462949
밝은연세정신건강의학과의원,경기,평택시,"경기도 평택시 평택2로20번길 11, 2층 (평택동)",031-651-3975,127.0892373,36.9927707
밝은정안과의원,경기,평택시,"경기도 평택시 평남로 941, 우성메디피아 2층 (비전동)",031-692-1477,127.1041729,37.0046213
베스트의원,경기,안성시,"경기도 안성시 남파로 73-3, 3층 (신소현동, 코아루(아)상가)",031-673-5009,127.2579454,37.0163788
별소아청소년과의원,경기,안성시,"경기도 안성시 중앙로 252, 2층 (석정동)",031-672-9607,127.2567952,37.0129952
보람외과의원,경기,평택시,"경기도 평택시 평택로 102, (통복동)",031-652-1024,127.0834957,36.995878
복음내과의원,경기,평택시,"경기도 평택시 중앙로 268, (합정동)",031-656-1254,127.1125533,36.9898767
본비뇨기과의원,경기,평택시,"경기도 평택시 관광특구로 31, 3층 (서정동)",031-662-1844,127.0625582,37.0671053
본정형외과의원,경기,평택시,"경기도 평택시 탄현로 337, (신장동)",031-666-8267,127.0563536,37.0823596
본튼튼성모정형외과의원,경기,평택시,"경기도 평택시 고덕로 250, 501호~508호 (고덕동)",031-666-5888,127.0282882,37.0362879
봄피부과의원,경기,평택시,"경기도 평택시 경기대로 1365, 5층 (서정동)",031-647-0468,127.0636646,37.0670039
봉봉소아청소년과의원,경기,평택시,"경기도 평택시 청북읍 안청로 332, (청북읍)",031-683-0325,126.9159078,37.0175045
뷰티라운지의원,경기,평택시,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 1101호~1108호,1118호 (고덕동)",031-662-0801,127.0442098,37.0477733
뷰티온의원,경기,안성시,"경기도 안성시 아양1로 77-25, 4층 7-15호 (옥산동)",031-8057-0875,127.2584884,37.0070874
뷰티온의원평택고덕점,경기,평택시,"경기도 평택시 고덕중앙로 218, 507호~512호 (고덕동)",031-647-0862,127.0449637,37.0478984
블리비의원,경기,평택시,"경기도 평택시 중앙2로 13, 3층 303,304,304-1호 (평택동)",1833-9578,127.0886955,36.9919135
비전의원,경기,평택시,"경기도 평택시 경기대로 267, (비전동)",031-651-2121,127.1130585,36.994524
비전조은내과의원,경기,평택시,"경기도 평택시 평남로 941, 우성메디피아 5층 (비전동)",031-653-7975,127.1041729,37.0046213
비전튼튼연합의원,경기,평택시,"경기도 평택시 중앙로 96, 201호 (합정동)",031-618-6620,127.0937097,36.9934259
사랑의의원,경기,평택시,"경기도 평택시 세교공원로 66, 상가2동 2층 201, 205호 (세교동, 부영아파트)",031-654-0654,127.0852822,37.0035948
삼성드림소아청소년과의원,경기,오산시,"경기도 오산시 수목원로 458, 3층 302호 (금암동)",031-373-3988,127.0505166,37.1747417
삼성드림소아청소년과의원,경기,평택시,"경기도 평택시 용죽3로 24, 2층 201호 (용이동)",031-647-0755,127.1254147,36.9941062
삼성드림정형외과의원,경기,평택시,"경기도 평택시 동삭로 370-4, 모아빌딩 2층 (동삭동)",031-616-7004,127.0958836,37.0183203
삼성바로튼튼의원,경기,평택시,"경기도 평택시 고덕갈평6길 29, 405-408호 (고덕동)",031-682-7582,127.0474399,37.0573027
삼성서울내과의원,경기,평택시,"경기도 평택시 송탄로 274, (서정동)",031-666-7514,127.0592191,37.0680968
삼성서울안과의원,경기,안성시,"경기도 안성시 중앙로 374, 메디스퀘어 1동 2층 201호 (서인동)",677-1119,127.2683648,37.0075246
삼성성모연합의원,경기,평택시,"경기도 평택시 비전4로 142, 3층 301, 302호 (비전동)",031-652-6114,127.107209,37.008783
삼성연합의원,경기,오산시,"경기도 오산시 오산대역로 214, G플레이스 오산 404,405호 (수청동)",031-376-5475,127.0655846,37.1708567
삼성원스정형외과의원,경기,오산시,"경기도 오산시 죽담안로 38-15, 4,3층 401~405호,305호 (궐동)",031-000-0000,127.0521088,37.1636716
삼성이비인후과의원,경기,평택시,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 315~317호 (고덕동)",031-616-7575,127.0442098,37.0477733
삼성전자(주) 평택부속의원,경기,평택시,"경기도 평택시 삼성로 144, 삼성전자(주) 평택캠퍼스 복지동 2층 (고덕동)",031-6191-1004,127.0516948,37.0377526
삼성조은내과의원,경기,평택시,"경기도 평택시 안중읍 안현로 429, 3층 (서경타워)",031-683-7000,126.9316706,36.9881472
삼성키즈소아청소년과의원,경기,안성시,"경기도 안성시 공도읍 진사길 11, 2층 (광동아이비)",031-692-7500,127.1384715,36.9929072
삼성킴스비뇨기과의원,경기,오산시,"경기도 오산시 성호대로 121, 5층 503호 (오산동, 월드타워 )",031-372-3651,127.0748375,37.1490571
새롬안과의원,경기,오산시,"경기도 오산시 수청로 199, 302호 (금암동, 정원프라자)",031-373-6646,127.0448233,37.1764456
새봄연합의원,경기,오산시,"경기도 오산시 오산로 79, 301호 (갈곶동, 리치타워)",031-375-5321,127.0688353,37.133978
