병원이름,,,주소,전화번호,좌표(X),좌표(Y)
오성제일의원,경기,평택시,"경기도 평택시 오성면 숙성시장길 34, (오성면)",031-682-2733,126.9816439,37.0074117
오앤유내과영상의학과의원,경기,평택시,"경기도 평택시 이충로35번길 20-9, 2층 (이충동, 이충센타프라자)",031-665-0852,127.0664844,37.0603587
오영수의다나의원,경기,평택시,"경기도 평택시 탄현로336번길 10, 2층 (지산동)",031-665-8275,127.0568371,37.0816793
오제호내과의원,경기,평택시,"경기도 평택시 탄현로327번길 4, (신장동)",031-668-1675,127.0558289,37.081665
오즈신경과의원,경기,오산시,"경기도 오산시 대원로 6, 4층 (원동, 역전빌딩)",031-375-0777,127.0689925,37.1461121
오케이365정형외과의원,경기,오산시,"경기도 오산시 오산로 244, 2,3층 (오산동)",031-373-7580,127.0686766,37.1486574
오케이성모내과의원,경기,오산시,"경기도 오산시 오산로 244, 4층 (오산동)",031-8067-6888,127.0686715,37.1486399
온가족소아청소년과의원,경기,오산시,"경기도 오산시 문시로 183-4, 더샵프라자 2층 206-208호 (외삼미동)",031-8077-2658,127.0673341,37.1907964
올리브의원,경기,안성시,"경기도 안성시 중앙로 312, (석정동)",031-671-7585,127.2623222,37.0102862
우리든든내과의원,경기,평택시,"경기도 평택시 세교8길 30, 세교디오네프라자 5층 506호, 507호 (세교동)",031-616-7070,127.0907222,37.0090505
우리들소아청소년과의원,경기,안성시,"경기도 안성시 공도읍 서동대로 4081, (주은풍림상가2층)",031-654-6700,127.1597072,36.9981375
우리들외과의원,경기,평택시,"경기도 평택시 서정역로 22, (서정동)",031-662-2422,127.0558206,37.0560657
우리들의원,경기,안성시,"경기도 안성시 죽산면 죽주로 271, (죽산면)",671-0098,127.4251495,37.0759018
우리메디의원,경기,평택시,"경기도 평택시 중앙2로 16, 2층 202호 (평택동)",031-682-4999,127.0886221,36.9914681
우리신경외과의원,경기,평택시,"경기도 평택시 원평로105번길 42, (통복동)",031-654-0011,127.0780499,36.993407
우리의원,경기,오산시,"경기도 오산시 오산로 349, (궐동)",031-376-6511,127.0668691,37.157871
우리의원,경기,안성시,"경기도 안성시 장기로 38, (인지동)",031-671-7511,127.2675434,37.0056991
우리정형외과의원,경기,오산시,"경기도 오산시 오산로 303, (오산동)",031-374-2211,127.0684093,37.153943
우먼필산부인과의원,경기,오산시,"경기도 오산시 대원로 34, (원동)",031-378-5950,127.0722141,37.1461261
워치타워부속의원,경기,안성시,"경기도 안성시 공도읍 신두만곡로 73, 워치타워성서책자협회 가동 1층",690-0033,127.1956662,37.000922
웰봄내과의원,경기,오산시,"경기도 오산시 경기대로 534, 4층 (수청동)",031-8077-2124,127.0640749,37.1706269
웰의원,경기,안성시,"경기도 안성시 중앙로 368, 3층 (석정동, 모아빌딩)",671-6400,127.2676156,37.0077318
유앤아이의원,경기,평택시,"경기도 평택시 평남로 862, 2층 201호 (비전동)",031-647-6618,127.1114954,37.0004749
유준상가정의학과의원,경기,오산시,"경기도 오산시 양산로410번길 12, 306호 (양산동, 엠스퀘어빌딩)",031-377-9922,127.0301703,37.1953895
유키즈소아청소년과의원,경기,평택시,"경기도 평택시 지제동삭1로 208, 3층 (동삭동)",031-8054-7500,127.0889023,37.0171554
유희범소아과의원,경기,안성시,"경기도 안성시 중앙로 370, 3층 (석정동, 하평플리스)",031-675-5500,127.2678542,37.0076411
윤정신건강의학과의원,경기,평택시,"경기도 평택시 평택2로 49, (비전동)",031-652-9497,127.0904477,36.995138
으랏차정형외과의원,경기,평택시,"경기도 평택시 중앙로 120-1, (합정동)",031-653-2775,127.0963823,36.9928029
은가정의학과의원,경기,평택시,"경기도 평택시 고덕면 궁2길 67, 그레이스프라자 2층 203호",031-665-1275,127.0343905,37.0180474
의료법인 열린의료재단 푸른의원,경기,평택시,"경기도 평택시 중앙2로 13, 6층 (평택동, 센텀스카이)",031-658-8077,127.0886955,36.9919135
의료법인양진의료재단 성모아이들의원,경기,평택시,"경기도 평택시 평택5로 65, (비전동)",031-651-0707,127.1111376,36.9919482
이광옥소아청소년과의원,경기,평택시,"경기도 평택시 안중읍 안현로서8길 57, 2층 212,212-1호",031-682-8773,126.9194166,36.9790824
이근찬내과의원,경기,오산시,"경기도 오산시 성호대로 122, (오산동)",031-374-9221,127.0748084,37.1485109
이동석내과의원,경기,평택시,"경기도 평택시 세교3로 8, 201호 (세교동, 현대아파트상가)",031-651-9111,127.0796605,37.0011742
이동훈내과의원,경기,평택시,"경기도 평택시 서정역로 42, (서정동)",031-662-9022,127.0557849,37.0579367
이상대산부인과의원,경기,평택시,"경기도 평택시 평택2로 23, (평택동)",031-652-7489,127.0888904,36.9935197
이선경산부인과의원,경기,안성시,"경기도 안성시 중앙로379번길 29, (대천동)",031-674-2251,127.2691234,37.0089308
이선미산부인과의원,경기,평택시,"경기도 평택시 중앙로 20, (평택동)",031-658-5591,127.0853777,36.9950076
이성미베스트의원,경기,평택시,"경기도 평택시 평택4로 52, 2층 (비전동, 동아빌딩)",031-656-7529,127.1012162,36.992388
이승균이비인후과의원,경기,평택시,"경기도 평택시 안중읍 안현로 417, 세정빌딩 1층",031-681-3347,126.9312741,36.9873103
이승훈내과의원,경기,평택시,"경기도 평택시 중앙로 198, (합정동)",031-656-7676,127.1048477,36.9909868
이안과의원,경기,평택시,"경기도 평택시 중앙2로 19, (평택동)",031-655-5800,127.0892466,36.9918474
이외과의원,경기,평택시,"경기도 평택시 통복시장로6번길 18-3, 1층 (통복동)",654-2521,127.0860787,36.9953778
이정래산부인과의원,경기,평택시,"경기도 평택시 비전5로 20-26, 로데오1103더테라스 301호 (비전동)",031-8054-0015,127.1146146,36.9988462
이종광이비인후과의원,경기,평택시,"경기도 평택시 탄현로327번길 2, (신장동)",031-662-8787,127.0558849,37.0817301
이호수내과의원,경기,오산시,"경기도 오산시 경기대로 174, 304,305호 (원동, 다모아프라자)",031-375-7570,127.0737962,37.1402822
일죽제일의원,경기,안성시,"경기도 안성시 일죽면 주래본죽로 18, 18",031-674-0470,127.4765644,37.0939069
임가정의원,경기,평택시,"경기도 평택시 포승읍 여술로 21, 2층 (선구빌딩)",031-683-0516,126.8450402,36.9882867
임영묵이비인후과의원,경기,안성시,"경기도 안성시 중앙로 388, (서인동)",031-672-9738,127.2699228,37.0072996
잇츠미의원,경기,평택시,"경기도 평택시 고덕국제대로 94, 우성고덕타워 3층 305호~309호 (고덕동)",,127.0442027,37.045272
잇츠미의원,경기,안성시,"경기도 안성시 중앙로 366, 크리스탈빌딩 3층 1,2,3호 (석정동)",031-675-1020,127.2674027,37.0077855
자애의원,경기,안성시,"경기도 안성시 일죽면 금일로 465-10, (일죽면)",674-1198,127.4780004,37.0933754
장승호이비인후과의원,경기,오산시,"경기도 오산시 오산로 214, (원동)",031-376-0121,127.0686558,37.1459635
장영외과의원,경기,평택시,"경기도 평택시 경기대로 1286, 1층 (이충동, 명성빌딩)",031-611-8275,127.0649855,37.059883
장응서내과의원,경기,평택시,"경기도 평택시 안중읍 안중로 137, (안중읍)",031-681-1511,126.9317364,36.9890273
장의원,경기,평택시,"경기도 평택시 안중읍 안중로 126, (안중읍)",031-681-5111,126.9304817,36.9886089
장이비인후과의원,경기,평택시,"경기도 평택시 평택2로20번길 4, (평택동)",031-652-6932,127.0886264,36.9928926
장편한현내과의원,경기,오산시,"경기도 오산시 경기대로 154, 2층 220~224호 (원동)",031-373-4761,127.0738662,37.1384985
재우산부인과의원,경기,평택시,"경기도 평택시 탄현로 317, 4층 (신장동)",031-662-0001,127.0552674,37.0807577
전성훈내과의원,경기,오산시,"경기도 오산시 대원로 6, 2층 (원동)",031-372-8665,127.0689925,37.1461121
정동국내과의원,경기,평택시,"경기도 평택시 탄현로 340, (지산동)",031-662-8828,127.0570897,37.0823031
정비뇨기과의원,경기,평택시,"경기도 평택시 탄현로327번길 6, 2,3층 (신장동)",031-663-3311,127.0556849,37.0816034
정이비인후과의원,경기,평택시,"경기도 평택시 경기대로 1365, 2층 (서정동)",031-663-5075,127.0636646,37.0670039
제이에스의원,경기,평택시,"경기도 평택시 청북읍 안청로 332, 한남프라자 401호",031-686-7511,126.9159078,37.0175045
제일비뇨기과의원,경기,평택시,"경기도 평택시 서정역로 38, (서정동, 파크랜드 2층)",031-657-1133,127.0560206,37.0576039
조은소리이비인후과의원,경기,오산시,"경기도 오산시 대원로 3, 2층 (오산동)",031-377-6672,127.0688496,37.1465956
좋은샘가정의학과의원,경기,평택시,"경기도 평택시 지산로 85, 2층 (독곡동, 우남빌딩)",031-668-9411,127.0642576,37.0806276
중앙메디칼의원,경기,오산시,"경기도 오산시 한신대길 117, (양산동)",031-376-8575,127.0234225,37.1964025
중앙외과의원,경기,안성시,"경기도 안성시 일죽면 금일로 460, (일죽면)",031-675-0068,127.4783253,37.0925986
중앙의원,경기,안성시,"경기도 안성시 대덕면 서동대로 4723, 3층",031-675-8968,127.2255919,37.0131929
중앙의원,경기,평택시,"경기도 평택시 탄현로 317, (신장동)",031-663-3369,127.0552674,37.0807577
지엔산부인과의원,경기,평택시,"경기도 평택시 비전5로 3, (비전동)",,127.111611,36.9999179
지엔연세소아청소년과의원,경기,평택시,"경기도 평택시 비전5로 3, 1층 근생01호 (비전동)",031-663-0025,127.111611,36.9999179
지제성모내과의원,경기,평택시,"경기도 평택시 영신2길 19, 3층 (세교동)",031-647-0810,127.0834802,37.021366
차앤박피부과의원,경기,평택시,"경기도 평택시 중앙2로 2, 3층 (평택동)",031-651-9200,127.0872355,36.9916298
차외과의원,경기,안성시,"경기도 안성시 중앙로379번길 29, (대천동)",031-673-2251,127.2691234,37.0089308
참사랑내과의원,경기,오산시,"경기도 오산시 오산로 206, 2층 201,202호 (원동)",031-372-3114,127.0686848,37.1452005
참이비인후과의원,경기,안성시,"경기도 안성시 공도읍 공도로 116-16, 4층",031-656-7555,127.1731197,36.9992996
참정형외과의원,경기,오산시,"경기도 오산시 오산로 164, 4층 (원동, 양우프라자)",031-375-6003,127.06907,37.1414504
참편한내과의원,경기,평택시,"경기도 평택시 통복로 43, 2층 (통복동)",031-618-9876,127.0830402,36.9959954
청담맥의원,경기,오산시,"경기도 오산시 경기대로 155, 신한프라자A 5층 501호 (원동)",031-372-1264,127.0731132,37.1386476
청담윤미인의원,경기,평택시,"경기도 평택시 평택2로 6, 3층 (평택동, 산천빌딩)",031-658-4800,127.0875488,36.9921415
최규호의원,경기,평택시,"경기도 평택시 평택로 54, (평택동)",031-655-6552,127.0865895,36.9922498
최유상소아청소년과의원,경기,평택시,"경기도 평택시 평택로32번길 22, (평택동)",031-656-5077,127.0890999,36.9910109
최윤건내과의원,경기,평택시,"경기도 평택시 평택2로20번길 14, 3층 (평택동)",031-652-9779,127.0890029,36.9924728
최이비인후과의원,경기,안성시,"경기도 안성시 중앙로 385, 2층 (대천동)",031-675-7421,127.2697751,37.0077655
최중철정신건강의학과의원,경기,오산시,"경기도 오산시 역광장로 71, (오산동)",031-373-9966,127.0676458,37.1469297
코모키이비인후과의원,경기,평택시,"경기도 평택시 경기대로 269, (비전동)",031-652-6695,127.1129861,36.9947285
코아이비인후과의원,경기,안성시,"경기도 안성시 공도읍 서동대로 3874, 2층 (태지빌딩)",692-8276,127.1376616,36.9934925
코코이비인후과의원,경기,오산시,"경기도 오산시 대원로 2, 광장약국 2층 (원동)",031-376-8850,127.068693,37.1462902
코코이비인후과의원,경기,평택시,"경기도 평택시 청북읍 청북남로 260, 211호",684-7573,126.9153185,37.0196313
클리어안과의원,경기,평택시,"경기도 평택시 지제동삭2로 181-26, Adriamedi Tower 402호,403호,502호,503호 (동삭동)",031-647-6247,127.09411,37.017183
키즈하임소아청소년과의원,경기,평택시,"경기도 평택시 평남로 941, (비전동, 우성메디피아)",031-655-0125,127.1041729,37.0046213
타임성형외과의원,경기,평택시,"경기도 평택시 진위면 진위2산단로 15-40, 3층 301호",031-611-7747,127.0662448,37.122749
타임피부과의원,경기,오산시,"경기도 오산시 수청로 197, 403.406호 (금암동, 백현프라자)",031-374-3400,127.045109,37.1765166
태림의원,경기,오산시,"경기도 오산시 수청로 188, 201호 (금암동, 롯데슈퍼)",031-372-3675,127.0457071,37.1773828
터미널마취통증의학과의원,경기,안성시,"경기도 안성시 공도읍 공도로 92, 1층",031-654-7512,127.1712712,36.9996521
토마토의원,경기,오산시,"경기도 오산시 경기대로 178, 2층 202,203,204호 (원동)",031-373-8383,127.073913,37.140645
톡스앤필의원,경기,평택시,"경기도 평택시 중앙2로 16, 셀럽프라자 5층 502호 (평택동)",031-658-3101,127.0886221,36.9914681
톤즈의원,경기,평택시,"경기도 평택시 고덕국제대로 94, 우성고덕타워 205~211호 (고덕동)",,127.0442027,37.045272
튼튼소아청소년과의원,경기,평택시,"경기도 평택시 현촌4길 2-41, 2층 (용이동, 한국마트 주차빌딩)",031-652-0275,127.1332048,36.9991257
튼튼외과의원,경기,안성시,"경기도 안성시 남파로 75, 1층 (당왕동)",031-671-9985,127.2583781,37.0167484
파트너이비인후과의원,경기,평택시,"경기도 평택시 영신2길 87, 영신빌딩 4층 401호 (세교동)",031-656-1200,127.0827592,37.0201637
팽성하나의원,경기,평택시,"경기도 평택시 팽성읍 부용로 51, (팽성읍)",031-658-7551,127.0608959,36.9647337
평송의원,경기,평택시,"경기도 평택시 중앙2로 5, 1층 (평택동)",031-651-8244,127.0876241,36.9919308
평택고덕본스타마취통증의학과의원,경기,평택시,"경기도 평택시 고덕여염9길 38, 416-427호 (고덕동)",031-611-8220,127.0509675,37.0401502
평택고덕본정형외과의원,경기,평택시,"경기도 평택시 고덕중앙로 200-4, 우성고덕타워 6층 605~609호 (고덕동)",031-994-7772,127.0442098,37.0477733
평택더세움신경외과의원,경기,평택시,"경기도 평택시 세교7길 30, 3층,4층 (세교동)",031-618-7588,127.088213,37.0043551
평택라이프365의원,경기,평택시,"경기도 평택시 소사5길 120, (소사동)",,127.1264616,36.99168
평택미영상의학과의원,경기,평택시,"경기도 평택시 평택2로20번길 31, 2층일부층 (평택동)",031-656-0009,127.089913,36.9919406
평택반디소아청소년과의원,경기,평택시,"경기도 평택시 고덕국제대로 94, 우성고덕타워 603~604호 (고덕동)",,127.0442027,37.045272
평택베스트내과의원,경기,평택시,"경기도 평택시 동삭로 384, 2층 (동삭동)",031-8054-7570,127.0968218,37.0201866
평택비전안과의원,경기,평택시,"경기도 평택시 비전5로 20-26, 314호 (비전동)",031-656-2256,127.1146146,36.9988462
평택사랑외과의원,경기,평택시,"경기도 평택시 중앙로 80-1, (합정동)",031-653-1195,127.0920175,36.9937505
평택성모안과의원,경기,평택시,"경기도 평택시 평택2로 6, 2층 (평택동, 산천빌딩)",031-618-3131,127.0875488,36.9921415
평택센텀정형외과의원,경기,평택시,"경기도 평택시 평남로 937, 폴리프라자 2층 201~205호 (비전동)",031-616-9988,127.104453,37.0043914
평택시민의료소비자생활협동조합 시민의원,경기,평택시,"경기도 평택시 중앙로 165, 1층 (비전동)",031-653-3677,127.1013607,36.9921898
평택연세내과의원,경기,평택시,"경기도 평택시 중앙로 105, (비전동)",031-654-7582,127.0948885,36.9935991
평택외과의원,경기,평택시,"경기도 평택시 통복로32번길 3, (통복동)",031-653-0119,127.0831362,36.9946543
평택장문외과의원,경기,평택시,"경기도 평택시 평택2로10번길 34, (평택동)",031-658-5902,127.08935,36.991993
평택중앙내과의원,경기,평택시,"경기도 평택시 중앙로 29, (통복동)",031-651-9107,127.0863966,36.9953196
평택코끼리마취통증의학과의원,경기,평택시,"경기도 평택시 통복로37번길 5, 2,3층 (통복동)",031-652-8575,127.0828136,36.9953403
평택탑마취통증의학과의원,경기,평택시,"경기도 평택시 용죽3로 25, 2층 (용이동)",031-647-4377,127.1248013,36.9939187
평택핑크리본외과의원,경기,평택시,"경기도 평택시 중앙2로 15, 2층 (평택동)",031-618-5570,127.0888129,36.9918583
평택한길정형외과의원,경기,평택시,"경기도 평택시 중앙로 66, (평택동)",031-657-1515,127.0904677,36.9938613
포승21세기의원,경기,평택시,"경기도 평택시 포승읍 서동대로 1124, (포승읍)",031-682-7553,126.8798853,36.980662
포승백내과의원,경기,평택시,"경기도 평택시 포승읍 여술로 20, 스타타워 403호",031-8054-7727,126.8447486,36.9877168
포승튼튼의원,경기,평택시,"경기도 평택시 포승읍 여술로 20, 401, 402호",031-8054-8575,126.8447486,36.9877168
푸른의원,경기,안성시,"경기도 안성시 공도읍 진사길 32, (주은청설(아)상가)",031-656-7582,127.1387828,36.9899145
푸른이비인후과의원,경기,안성시,"경기도 안성시 공도읍 공도로 83, 2층",031-657-4835,127.170316,36.9998013
풍림연세의원,경기,안성시,"경기도 안성시 공도읍 서동대로 4081, 2층 (주은풍림(아)상가)",653-3537,127.1597072,36.9981375
플로우이비인후과의원,경기,안성시,"경기도 안성시 중앙로 374, 메디스퀘어 2층 202호,203호 (서인동)",031-677-2933,127.2683648,37.0075246
하나로내과의원,경기,평택시,"경기도 평택시 청북읍 청북남로 254, 청북센터프라자 203-205호",031-682-8217,126.91594,37.0196679
하나로연합의원,경기,안성시,"경기도 안성시 중앙로 370, 4층 (석정동, 하평플리스)",672-2475,127.2678542,37.0076411
하나로의원,경기,평택시,"경기도 평택시 신장로 25, (신장동)",031-664-8007,127.0517802,37.0790577
하나여성의원,경기,안성시,"경기도 안성시 안성맞춤대로 1043, (서인동)",031-677-7700,127.2690215,37.0065918
하나원부속의원,경기,안성시,"경기도 안성시 아양로 12, 안성우체국,사서함 18호 (석정동)",031-670-9336,127.2629627,37.0086513
하나의원,경기,평택시,"경기도 평택시 송탄로 410, (지산동)",031-663-9798,127.0580869,37.0801474
하나정신건강의학과의원,경기,평택시,"경기도 평택시 평택2로20번길 14, 4층 (평택동)",031-618-2111,127.0890029,36.9924728
하나정신건강의학과의원,경기,안성시,"경기도 안성시 중앙로 370, (석정동)",031-671-0075,127.2678542,37.0076411
하북한사랑의원,경기,평택시,"경기도 평택시 진위면 진위서로 2, (진위면)",031-611-7933,127.0639218,37.1092492
하얀나라이상수피부과의원,경기,평택시,"경기도 평택시 탄현로326번길 3, (지산동)",031-666-8359,127.0561127,37.081243
하얀피부과의원,경기,안성시,"경기도 안성시 중앙로 370, 4층 (석정동, 하평플리스)",031-674-5592,127.2678542,37.0076411
한길아산내과의원,경기,안성시,"경기도 안성시 중앙로 408, (동본동)",031-675-0500,127.2719514,37.006911
한마음의원,경기,평택시,"경기도 평택시 세교상가1길 6, (세교동, 개암빌딩)",031-658-7999,127.0793798,36.999981
한마음의원,경기,오산시,"경기도 오산시 오산로272번길 17, 2층 (오산동)",031-378-9744,127.0703799,37.1512677
한사랑의원,경기,평택시,"경기도 평택시 원평1로 28, 2층 (평택동, 천하빌딩)",031-658-1977,127.083261,36.9892851
한솔가정의원,경기,오산시,"경기도 오산시 매홀로 71, (수청동, 오산대우아파트)",031-374-1267,127.062032,37.1638174
한솔비뇨기과의원,경기,오산시,"경기도 오산시 역광장로 55, 동일빌딩 4층 (오산동)",031-377-9400,127.0674414,37.1453601
한양내과의원,경기,안성시,"경기도 안성시 중앙로382번길 20, (서인동)",031-675-7567,127.2683245,37.0072946
한양신경외과의원,경기,평택시,"경기도 평택시 안중읍 안현로 423, (안중읍)",031-682-4700,126.9313595,36.9876789
한양에이스마취통증의학과의원,경기,평택시,"경기도 평택시 탄현로 328, (지산동)",031-666-7500,127.0562984,37.0815274
한양의원,경기,평택시,"경기도 평택시 지산로 56, (지산동)",031-665-0682,127.0612224,37.0794618
한주희정형외과의원,경기,평택시,"경기도 평택시 평택4로 39, 2층 (합정동, 골든브릿지캐피탈)",031-618-0707,127.1000456,36.9915739
한형수내과의원,경기,오산시,"경기도 오산시 대원로15번길 23, (오산동)",031-375-8200,127.0698091,37.1485407
항편한외과의원,경기,오산시,"경기도 오산시 오산로 209, 5층 (오산동)",031-373-3700,127.0681826,37.1454049
행림내과의원,경기,평택시,"경기도 평택시 포승읍 여술2길 22, (포승읍)",031-684-7533,126.8456044,36.9874816
행복주는의원,경기,오산시,"경기도 오산시 오산로 206, 3층 301,302호 (원동)",031-377-8274,127.0686848,37.1452005
행복주는의원,경기,평택시,"경기도 평택시 평남로 858, 삼성타워 3층 302호 (비전동)",031-647-0228,127.1115767,37.0001292
행복한가족의원,경기,오산시,"경기도 오산시 동부대로 355, 3층 (고현동)",374-7528,127.0778859,37.1337775
험프리스글로리의원,경기,평택시,"경기도 평택시 팽성읍 안정쇼핑로 37, 3층",,127.0460847,36.9611669
현가정의원,경기,평택시,"경기도 평택시 평남로 722, (비전동)",031-654-0875,127.1143662,36.9943015
현대가정의원,경기,평택시,"경기도 평택시 팽성읍 안정로39번길 32, 32",031-691-6311,127.0470247,36.9611148
현대내과의원,경기,안성시,"경기도 안성시 중앙로 393, (대천동)",031-675-1100,127.2705553,37.0075108
현대의원,경기,오산시,"경기도 오산시 오산로278번길 17, (오산동)",031-375-6826,127.0704208,37.1518202
현대정형외과의원,경기,안성시,"경기도 안성시 공도읍 승두길 59, (공도읍)",031-656-3114,127.1725601,37.0000417
현대정형외과의원,경기,평택시,"경기도 평택시 지산로 62, (지산동)",031-665-4119,127.06187,37.0796669
현소아청소년과의원,경기,오산시,"경기도 오산시 부산중앙로 25-6, 3층 301호 (부산동)",031-372-7276,127.0907427,37.1509103
현화가정의원,경기,평택시,"경기도 평택시 안중읍 안현로서6길 74, 74",031-683-7582,126.9211426,36.9847858
현화배내과의원,경기,평택시,"경기도 평택시 안중읍 안현로서8길 17, 4층 (현화메디컬센터)",031-686-9991,126.923344,36.9787443
현화이비인후과의원,경기,평택시,"경기도 평택시 안중읍 안현로서8길 17, 5층",031-686-9995,126.923344,36.9787443
혜상 정신건강의학과의원,경기,평택시,"경기도 평택시 관광특구로 18, (서정동)",031-668-8883,127.0607184,37.0667008
호소아청소년과의원,경기,평택시,"경기도 평택시 청원로 1200, 201,206호 (이충동, 금강프라자)",031-662-5275,127.0562925,37.0520272
홍광의가정의원,경기,평택시,"경기도 평택시 중앙로 207, (비전동)",031-651-7566,127.105993,36.9912544
홍내과의원,경기,안성시,"경기도 안성시 안성맞춤대로 1049, (서인동)",031-675-2478,127.2692114,37.0071567
화인마취통증의학과의원,경기,평택시,"경기도 평택시 평택1로 15, 6층 (평택동, 부광빌딩)",031-8094-1222,127.0868089,36.9934128
황운정산부인과의원,경기,오산시,"경기도 오산시 대원로 6, 3층 (원동)",031-378-9452,127.0689925,37.1461121
황인선소아과의원,경기,안성시,"경기도 안성시 인지1길 9-8, (인지동)",031-671-1771,127.2676245,37.0054853
황재영정형외과의원,경기,오산시,"경기도 오산시 청학로 124-4, (궐동)",031-378-8873,127.064412,37.1599632
훼미리외과의원,경기,오산시,"경기도 오산시 성호새싹길 31, 2층 (오산동)",031-375-7512,127.0700171,37.1515924
휴먼피부과의원,경기,평택시,"경기도 평택시 중앙2로 13, 9-10층 901,904,1001,1002호 (평택동)",031-655-0031,127.0886955,36.9919135
힘나는재활의학과의원,경기,오산시,"경기도 오산시 경기대로 154, 패션 폴라리스 304,307호 (원동)",031-374-2449,127.0738662,37.1384985
